,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL
0,Feel music,2024-06-10 10:00:00,120.0,Opéra de Sydney,"#Bennelong Point Sydney, NSW 2000",0.0,0.0,Going fast,https://www.eventbrite.com.au/e/feel-music-tickets-894977811727?aff=ebdssbdestsearch
1,Harmony Festival Sydney 2024,2024-06-10 18:30:00,150.0,2 Australia Ave,"nue Sydney Olympic Park, NSW 2127",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/harmony-festival-sydney-2024-tickets-910122429687?aff=ebdssbdestsearch
2,Silent Disco Party Walk - Vivid Tours - Circular Quay,2024-06-10 18:30:00,,Customs House,"31 Alfred St Sydney, NSW 2000",0.0,69.07,Sales end soon,https://www.eventbrite.com.au/e/silent-disco-party-walk-vivid-tours-circular-quay-tickets-882707811827?aff=ebdssbdestsearch
3,VIVID SYDNEY Silent Disco Tour by DISCO LOCO,2024-06-10 19:00:00,,Chinese Garden of Friendship,"Cnr Harbour Street Darling Harbour, NSW 2000",34.4,37.55,Sales end soon,https://www.eventbrite.com.au/e/vivid-sydney-silent-disco-tour-by-disco-loco-tickets-872264816547?aff=ebdssbdestsearch
4,Guitar School : Children - June,2024-06-11 16:00:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/guitar-school-children-june-tickets-896764666257?aff=ebdssbdestsearch
5,Guitar School: Youth/Adults - June,2024-06-11 17:00:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0.0,0.0,Going fast,https://www.eventbrite.com.au/e/guitar-school-youthadults-june-tickets-896767113577?aff=ebdssbdestsearch
6,RINGO BINGO MUSIC BINGO CLARENDON TAVERN TUESDAYS,2024-06-11 19:00:00,,Clarendon Tavern,"244 Hawkesbury Valley Way Clarendon, NSW 2756",,,Sales end soon,https://www.eventbrite.com.au/e/ringo-bingo-music-bingo-clarendon-tavern-tuesdays-tickets-795811261907?aff=ebdssbdestsearch
7,"Soda Tuesday - Free Drink on Arrival, $1 HotDogs & Musical Bingo",2024-06-11 19:00:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/soda-tuesday-free-drink-on-arrival-1-hotdogs-musical-bingo-tickets-517134070927?aff=ebdssbdestsearch
8,Tuesday Live Jazz,2024-06-11 19:30:00,,185 Glebe Point Rd,"185 Glebe Point Road Glebe, NSW 2037",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/tuesday-live-jazz-tickets-834606930797?aff=ebdssbdestsearch
9,Bondi Lines & Scary Canary Silent Disco Tuesday - Free Drink on Entry,2024-06-11 21:00:00,,The Scary Canary,"469 Kent Street Sydney, NSW 2000",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/bondi-lines-scary-canary-silent-disco-tuesday-free-drink-on-entry-tickets-621459571307?aff=ebdssbdestsearch
10,Music Production Workshop with Heaps Decent,2024-06-12 16:00:00,,Synergy Youth Centre,"8 Little Street Lane Cove, NSW 2066",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/music-production-workshop-with-heaps-decent-tickets-908016340317?aff=ebdssbdestsearch
11,Sheaf Wednesday - Free Drink on Arrival PRE 10PM,2024-06-12 19:00:00,,The Golden Sheaf,"429 New South Head Road Double Bay, NSW 2026",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/sheaf-wednesday-free-drink-on-arrival-pre-10pm-tickets-558298625217?aff=ebdssbdestsearch
12,Wednesday Jazz Joints,2024-06-12 20:00:00,,The Dock,"182 Redfern Street Redfern, NSW 2016",0.0,0.0,,https://www.eventbrite.com.au/e/wednesday-jazz-joints-tickets-511364343517?aff=ebdssbdestsearch
13,Alex Sky Trio,2024-06-12 20:30:00,150.0,Foundry 616,"616 Harris Street Ultimo, NSW 2007",29.29,55.39,Sales end soon,https://www.eventbrite.com.au/e/alex-sky-trio-tickets-906443656377?aff=ebdssbdestsearch
14,RINGO BINGO MUSIC BINGO THURSDAYS PLUMPTON HOTEL,2024-06-13 19:00:00,,Plumpton Hotel,"556 Richmond Road Glendenning, NSW 2761",,,,https://www.eventbrite.com.au/e/ringo-bingo-music-bingo-thursdays-plumpton-hotel-tickets-391661388757?aff=ebdssbdestsearch
15,Vivid In The Harbour - Boat Party (18+),2024-06-13 19:00:00,,King St Wharf 3 - Cadman Cruises,"King St Wharf 3 Darling Harbour, NSW 2000",22.87,43.64,Sales end soon,https://www.eventbrite.com.au/e/vivid-in-the-harbour-boat-party-18-tickets-887447518417?aff=ebdssbdestsearch
16,Tourismo Album Launch,2024-06-13 20:30:00,150.0,Foundry 616,"616 Harris Street Ultimo, NSW 2007",21.98,48.08,Sales end soon,https://www.eventbrite.com.au/e/tourismo-album-launch-tickets-900090313357?aff=ebdssbdestsearch
17,La Cueva Superclub Thursdays | SYDNEY | THU 13 JUN  | CARRETE: CHILE NIGHT,2024-06-13 21:00:00,510.0,CULT,"33 Bayswater Road Potts Point, NSW 2011",7.5,17.86,Sales end soon,https://www.eventbrite.com.au/e/la-cueva-superclub-thursdays-sydney-thu-13-jun-carrete-chile-night-tickets-879969531557?aff=ebdssbdestsearch
18,Official End of Exams Vivid Boat Party,2024-06-13 21:00:00,,King Street Wharf 3 - Cadman Cruises,"King Street Wharf 3  - Cadman Cruises Darling Harbour, NSW 2000",17.68,22.87,Sales end soon,https://www.eventbrite.com.au/e/official-end-of-exams-vivid-boat-party-tickets-918679734817?aff=ebdssbdestsearch
19,The Ultimate Backpacker & International Boat Party  - Vivid Cruise,2024-06-13 21:00:00,,King St Wharf 3 - Cadman Cruises,"King Street Wharf 3 Sydney, NSW 2000",0.0,12.49,Sales end soon,https://www.eventbrite.com.au/e/the-ultimate-backpacker-international-boat-party-vivid-cruise-tickets-920566297577?aff=ebdssbdestsearch
